"microbe","Taxonomy","domain","kingdom","phylum","class","order","family","genus","species"
"Cucurbita.pepo","d__Eukaryota|k__Viridiplantae|p__Streptophyta|c__Magnoliopsida|o__Cucurbitales|f__Cucurbitaceae|g__Cucurbita|s__Cucurbita pepo","d__Eukaryota","k__Viridiplantae","p__Streptophyta","c__Magnoliopsida","o__Cucurbitales","f__Cucurbitaceae","g__Cucurbita","s__Cucurbita pepo"
"Cuniculiplasma.divulgatum","d__Archaea|p__Euryarchaeota|c__Thermoplasmata|o__Thermoplasmatales|f__Cuniculiplasmataceae|g__Cuniculiplasma|s__Cuniculiplasma divulgatum","d__Archaea","k__unclassified-p__Euryarchaeota","p__Euryarchaeota","c__Thermoplasmata","o__Thermoplasmatales","f__Cuniculiplasmataceae","g__Cuniculiplasma","s__Cuniculiplasma divulgatum"
"Cupriavidus.basilensis","d__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Burkholderiaceae|g__Cupriavidus|s__Cupriavidus basilensis","d__Bacteria","k__unclassified-p__Proteobacteria","p__Proteobacteria","c__Betaproteobacteria","o__Burkholderiales","f__Burkholderiaceae","g__Cupriavidus","s__Cupriavidus basilensis"
"Cupriavidus.campinensis","d__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Burkholderiaceae|g__Cupriavidus|s__Cupriavidus campinensis","d__Bacteria","k__unclassified-p__Proteobacteria","p__Proteobacteria","c__Betaproteobacteria","o__Burkholderiales","f__Burkholderiaceae","g__Cupriavidus","s__Cupriavidus campinensis"
"Cupriavidus.gilardii","d__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Burkholderiaceae|g__Cupriavidus|s__Cupriavidus gilardii","d__Bacteria","k__unclassified-p__Proteobacteria","p__Proteobacteria","c__Betaproteobacteria","o__Burkholderiales","f__Burkholderiaceae","g__Cupriavidus","s__Cupriavidus gilardii"
"Cupriavidus.malaysiensis","d__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Burkholderiaceae|g__Cupriavidus|s__Cupriavidus malaysiensis","d__Bacteria","k__unclassified-p__Proteobacteria","p__Proteobacteria","c__Betaproteobacteria","o__Burkholderiales","f__Burkholderiaceae","g__Cupriavidus","s__Cupriavidus malaysiensis"
"Cupriavidus.metallidurans","d__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Burkholderiaceae|g__Cupriavidus|s__Cupriavidus metallidurans","d__Bacteria","k__unclassified-p__Proteobacteria","p__Proteobacteria","c__Betaproteobacteria","o__Burkholderiales","f__Burkholderiaceae","g__Cupriavidus","s__Cupriavidus metallidurans"
"Cupriavidus.nantongensis","d__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Burkholderiaceae|g__Cupriavidus|s__Cupriavidus nantongensis","d__Bacteria","k__unclassified-p__Proteobacteria","p__Proteobacteria","c__Betaproteobacteria","o__Burkholderiales","f__Burkholderiaceae","g__Cupriavidus","s__Cupriavidus nantongensis"
"Cupriavidus.necator","d__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Burkholderiaceae|g__Cupriavidus|s__Cupriavidus necator","d__Bacteria","k__unclassified-p__Proteobacteria","p__Proteobacteria","c__Betaproteobacteria","o__Burkholderiales","f__Burkholderiaceae","g__Cupriavidus","s__Cupriavidus necator"
"Cupriavidus.oxalaticus","d__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Burkholderiaceae|g__Cupriavidus|s__Cupriavidus oxalaticus","d__Bacteria","k__unclassified-p__Proteobacteria","p__Proteobacteria","c__Betaproteobacteria","o__Burkholderiales","f__Burkholderiaceae","g__Cupriavidus","s__Cupriavidus oxalaticus"
"Cupriavidus.pauculus","d__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Burkholderiaceae|g__Cupriavidus|s__Cupriavidus pauculus","d__Bacteria","k__unclassified-p__Proteobacteria","p__Proteobacteria","c__Betaproteobacteria","o__Burkholderiales","f__Burkholderiaceae","g__Cupriavidus","s__Cupriavidus pauculus"
