"Gene","n","rank"
"TRIM78P",43,627
"FLJ38109",42,628
"LINC00204B",42,629
"LOC100134368",42,630
"LOC100287765",42,631
"LOC100289230",41,632
"LOC100652759",41,633
"TMEM150B",41,634
"TSPAN4",41,635
"ZNF790",41,636
"ZNF836",40,637
"C1orf53",39,638
"C7orf55",39,639
"FAM90A10P",39,640
"FLJ43663",39,641
"LOC100507173",39,642
"NS3BP",39,643
"SCGB2B3P",39,644
"ZNF432",39,645
"C6orf57",38,646
"ICAM2",38,647
"LOC283070",38,648
"SLC13A1",38,649
"SNHG15",38,650
"LOC388152",37,651
"LOC90834",37,652
"SNORD28",37,653
"ZNF271",37,654
"FAM100A",36,655
"NAT14",36,656
"PHOSPHO2-KLHL23",36,657
"RNF40",36,658
"ZFP14",36,659
"ARGFXP2",35,660
"FAM66E",35,661
"ZNF814",35,662
"DCTPP1",34,663
"ESRG",34,664
"LINC00085",34,665
"LOC100506655",34,666
"LOC400657",34,667
"PDRG1",34,668
"PHLDA1",34,669
"PMCHL2",34,670
"ACTR5",33,671
"LOC100505738",33,672
"LOC284440",33,673
"TMEM106C",33,674
"LOC283624",32,675
"LOC728606",32,676
"TMEM129",32,677
"SNORD116-7",31,678
"TP53TG1",31,679
"ZNF155",31,680
"GEMIN7",30,681
"KIAA0664L3",30,682
"LINC00338",30,683
"ZNF418",30,684
"ZNF492",30,685
"ZNF528",30,686
"ZNF670",30,687
"ESRRA",29,688
"FKBPL",29,689
"GLTPD1",29,690
"HIST4H4",29,691
"MGC2752",29,692
"RNU6ATAC",29,693
"ZNF248",29,694
"LOC284385",28,695
"LOC440288",28,696
"ZNF433",28,697
"ZNF763",28,698
"LOC100507299",27,699
"MIR4461",27,700
"NUDT1",27,701
"ZNF580",27,702
"ZNF671",27,703
"EEPD1",26,704
"GIPC3",26,705
"GK3P",26,706
"MGC23284",26,707
"SNORA14B",26,708
"TNFAIP8L1",26,709
"ZNF416",26,710
"ZNF626",26,711
"ZNF83",26,712
"HOTAIRM1",25,713
"LOC90784",25,714
"EPB41L4A-AS1",23,715
"LOC100134229",23,716
"VPS37D",23,717
"FOXP4",22,718
"VWA1",22,719
"CHRAC1",21,720
"TRAPPC6A",21,721
"WLS",21,722
"GABRD",20,723
"LOC646214",20,724
"SNORA67",20,725
"TMEM141",20,726
"TMEM186",20,727
"ZNF709",20,728
"CMC1",19,729
"LOC100506451",18,730
"ZIC5",18,731
"ZNRF3",18,732
"LOC100505687",17,733
"LOC541471",17,734
"LOC730102",17,735
"SNORD56",17,736
"NLE1",16,737
"POLR3K",16,738
"ZSCAN16",16,739
"C17orf90",15,740
"CRX",15,741
"HSD3B7",15,742
"PID1",15,743
"PNMA6D",15,744
"ZNF571",15,745
"ZSCAN30",15,746
"ABT1",14,747
"CTAGE7P",14,748
"ANKRD30BL",13,749
"SNORA47",13,750
"OR1L6",12,751
"POLR2J4",12,752
"SLC9A3R2",12,753
"SNORA4",12,754
"TIMM8A",12,755
"ZNF665",12,756
"ZNF880",12,757
"ERV3-1",11,758
"LINC00324",11,759
"LOC100506844",11,760
"ZNF441",11,761
"ASB3",10,762
"FAM26E",10,763
"HCG25",10,764
"LOC654342",10,765
"RPL21P44",10,766
"SAC3D1",10,767
"ZNF491",10,768
"ZNF614",10,769
"LINC00294",9,770
"LOC100271722",9,771
"NTHL1",9,772
"NUP210P1",9,773
"PROCR",9,774
"TMEM191B",9,775
"TUSC2",9,776
"AQP1",8,777
"DGKQ",8,778
"GP1BB",8,779
"HNRNPD",8,780
"LINC00526",8,781
"LOC100288842",8,782
"LOC100507557",8,783
"SESN2",8,784
"ZNF257",8,785
"ZSWIM3",8,786
"ACER2",7,787
"ARMC7",7,788
"C15orf62",7,789
"C22orf32",7,790
"ETV2",7,791
"FUT4",7,792
"GNB1L",7,793
"LOC255130",7,794
"SNORA15",7,795
"SNORD62A",7,796
"TSPAN31",7,797
"ABI1",6,798
"BTBD18",6,799
"DEFB130",6,800
"GAS5",6,801
"LOC254128",6,802
"LYL1",6,803
"MAK",6,804
"MIR143HG",6,805
"OR1L4",6,806
"PRMT6",6,807
"TRIP6",6,808
"BCL2L12",5,809
"CCDC121",5,810
