"microbe","cancer","TCC.dir","TCC.sig","TCGA.dir","TCGA.sig","agree.code","taxalev"
"c__Dothideomycetes","All","pos","FALSE","neg","FALSE",FALSE,"c"
"c__Dothideomycetes","BLCA","NA","NA","neg","FALSE",FALSE,"c"
"c__Dothideomycetes","COAD","NA","NA","neg","FALSE",FALSE,"c"
"c__Dothideomycetes","KIRC","NA","NA","pos","FALSE",FALSE,"c"
"c__Dothideomycetes","LUAD","pos","FALSE","neg","FALSE",FALSE,"c"
"c__Dothideomycetes","LUSC","pos","NA","neg","FALSE",FALSE,"c"
"c__Dothideomycetes","READ","NA","NA","neg","FALSE",FALSE,"c"
"c__Dothideomycetes","SARC","pos","FALSE","pos","FALSE",FALSE,"c"
"c__Dothideomycetes","SKCM","NA","NA","neg","FALSE",FALSE,"c"
"c__Epsilonproteobacteria","All","pos","FALSE","neg","FALSE",FALSE,"c"
"c__Epsilonproteobacteria","BLCA","pos","FALSE","pos","FALSE",FALSE,"c"
"c__Epsilonproteobacteria","COAD","pos","FALSE","neg","TRUE",FALSE,"c"
"c__Epsilonproteobacteria","KIRC","NA","NA","neg","FALSE",FALSE,"c"
"c__Epsilonproteobacteria","LUAD","NA","NA","pos","FALSE",FALSE,"c"
"c__Epsilonproteobacteria","LUSC","pos","NA","pos","FALSE",FALSE,"c"
"c__Epsilonproteobacteria","READ","neg","FALSE","neg","TRUE",FALSE,"c"
"c__Epsilonproteobacteria","SARC","pos","FALSE","pos","FALSE",FALSE,"c"
"c__Epsilonproteobacteria","SKCM","neg","FALSE","neg","FALSE",FALSE,"c"
"c__Erysipelotrichia","All","pos","FALSE","neg","FALSE",FALSE,"c"
"c__Erysipelotrichia","BLCA","NA","NA","pos","FALSE",FALSE,"c"
"c__Erysipelotrichia","COAD","pos","FALSE","neg","FALSE",FALSE,"c"
"c__Erysipelotrichia","KIRC","NA","NA","neg","FALSE",FALSE,"c"
"c__Erysipelotrichia","LUAD","NA","NA","pos","FALSE",FALSE,"c"
"c__Erysipelotrichia","LUSC","pos","NA","pos","FALSE",FALSE,"c"
"c__Erysipelotrichia","READ","neg","FALSE","neg","TRUE",FALSE,"c"
"c__Erysipelotrichia","SARC","neg","FALSE","neg","FALSE",FALSE,"c"
"c__Erysipelotrichia","SKCM","NA","NA","NA","NA",FALSE,"c"
"c__Eurotiomycetes","All","pos","FALSE","neg","FALSE",FALSE,"c"
"c__Eurotiomycetes","BLCA","neg","FALSE","pos","FALSE",FALSE,"c"
"c__Eurotiomycetes","COAD","neg","FALSE","neg","FALSE",FALSE,"c"
"c__Eurotiomycetes","KIRC","neg","FALSE","neg","TRUE",FALSE,"c"
"c__Eurotiomycetes","LUAD","pos","FALSE","neg","FALSE",FALSE,"c"
"c__Eurotiomycetes","LUSC","pos","NA","neg","FALSE",FALSE,"c"
"c__Eurotiomycetes","READ","NA","NA","neg","FALSE",FALSE,"c"
"c__Eurotiomycetes","SARC","neg","FALSE","pos","FALSE",FALSE,"c"
"c__Eurotiomycetes","SKCM","pos","FALSE","pos","FALSE",FALSE,"c"
"c__Fimbriimonadia","All","neg","FALSE","neg","FALSE",FALSE,"c"
"c__Fimbriimonadia","BLCA","NA","NA","pos","FALSE",FALSE,"c"
"c__Fimbriimonadia","COAD","neg","FALSE","neg","FALSE",FALSE,"c"
"c__Fimbriimonadia","KIRC","NA","NA","pos","FALSE",FALSE,"c"
"c__Fimbriimonadia","LUAD","pos","FALSE","neg","FALSE",FALSE,"c"
"c__Fimbriimonadia","LUSC","pos","NA","NA","NA",FALSE,"c"
"c__Fimbriimonadia","READ","NA","NA","neg","FALSE",FALSE,"c"
"c__Fimbriimonadia","SARC","neg","FALSE","NA","NA",FALSE,"c"
"c__Fimbriimonadia","SKCM","NA","NA","neg","FALSE",FALSE,"c"
"c__Flavobacteriia","All","neg","FALSE","neg","FALSE",FALSE,"c"
"c__Flavobacteriia","BLCA","neg","FALSE","pos","FALSE",FALSE,"c"
"c__Flavobacteriia","COAD","neg","TRUE","neg","TRUE",TRUE,"c"
"c__Flavobacteriia","KIRC","neg","FALSE","neg","FALSE",FALSE,"c"
"c__Flavobacteriia","LUAD","neg","FALSE","pos","FALSE",FALSE,"c"
"c__Flavobacteriia","LUSC","pos","NA","pos","FALSE",FALSE,"c"
"c__Flavobacteriia","READ","neg","FALSE","neg","FALSE",FALSE,"c"
"c__Flavobacteriia","SARC","neg","FALSE","pos","TRUE",FALSE,"c"
"c__Flavobacteriia","SKCM","neg","FALSE","pos","FALSE",FALSE,"c"
"c__Fusobacteriia","All","pos","FALSE","neg","FALSE",FALSE,"c"
"c__Fusobacteriia","BLCA","neg","FALSE","pos","FALSE",FALSE,"c"
"c__Fusobacteriia","COAD","pos","FALSE","neg","TRUE",FALSE,"c"
"c__Fusobacteriia","KIRC","pos","FALSE","pos","FALSE",FALSE,"c"
"c__Fusobacteriia","LUAD","pos","FALSE","pos","FALSE",FALSE,"c"
"c__Fusobacteriia","LUSC","pos","NA","pos","FALSE",FALSE,"c"
"c__Fusobacteriia","READ","neg","FALSE","neg","FALSE",FALSE,"c"
"c__Fusobacteriia","SARC","pos","FALSE","pos","FALSE",FALSE,"c"
"c__Fusobacteriia","SKCM","neg","FALSE","neg","FALSE",FALSE,"c"
"c__Gammaproteobacteria","All","neg","TRUE","NA","NA",FALSE,"c"
"c__Gammaproteobacteria","BLCA","neg","FALSE","NA","NA",FALSE,"c"
"c__Gammaproteobacteria","COAD","neg","FALSE","NA","NA",FALSE,"c"
"c__Gammaproteobacteria","KIRC","neg","FALSE","NA","NA",FALSE,"c"
"c__Gammaproteobacteria","LUAD","neg","FALSE","NA","NA",FALSE,"c"
"c__Gammaproteobacteria","LUSC","pos","NA","NA","NA",FALSE,"c"
"c__Gammaproteobacteria","READ","neg","FALSE","NA","NA",FALSE,"c"
"c__Gammaproteobacteria","SARC","neg","FALSE","NA","NA",FALSE,"c"
"c__Gammaproteobacteria","SKCM","NA","NA","NA","NA",FALSE,"c"
"c__Gemmatimonadetes","All","neg","FALSE","pos","FALSE",FALSE,"c"
"c__Gemmatimonadetes","BLCA","neg","FALSE","pos","FALSE",FALSE,"c"
"c__Gemmatimonadetes","COAD","neg","FALSE","neg","FALSE",FALSE,"c"
"c__Gemmatimonadetes","KIRC","pos","FALSE","pos","FALSE",FALSE,"c"
"c__Gemmatimonadetes","LUAD","pos","FALSE","neg","FALSE",FALSE,"c"
"c__Gemmatimonadetes","LUSC","pos","NA","pos","FALSE",FALSE,"c"
"c__Gemmatimonadetes","READ","NA","NA","neg","FALSE",FALSE,"c"
"c__Gemmatimonadetes","SARC","neg","FALSE","neg","FALSE",FALSE,"c"
"c__Gemmatimonadetes","SKCM","neg","FALSE","neg","FALSE",FALSE,"c"
"c__Halobacteria","All","neg","TRUE","neg","FALSE",FALSE,"c"
"c__Halobacteria","BLCA","neg","TRUE","neg","TRUE",TRUE,"c"
"c__Halobacteria","COAD","neg","TRUE","neg","FALSE",FALSE,"c"
"c__Halobacteria","KIRC","NA","NA","neg","FALSE",FALSE,"c"
"c__Halobacteria","LUAD","NA","NA","neg","FALSE",FALSE,"c"
"c__Halobacteria","LUSC","pos","NA","neg","FALSE",FALSE,"c"
"c__Halobacteria","READ","neg","TRUE","neg","TRUE",TRUE,"c"
"c__Halobacteria","SARC","neg","FALSE","pos","FALSE",FALSE,"c"
"c__Halobacteria","SKCM","neg","FALSE","pos","FALSE",FALSE,"c"
"c__Ignavibacteria","All","pos","FALSE","neg","FALSE",FALSE,"c"
"c__Ignavibacteria","BLCA","NA","NA","neg","FALSE",FALSE,"c"
"c__Ignavibacteria","COAD","NA","NA","neg","FALSE",FALSE,"c"
"c__Ignavibacteria","KIRC","NA","NA","neg","FALSE",FALSE,"c"
"c__Ignavibacteria","LUAD","NA","NA","pos","FALSE",FALSE,"c"
"c__Ignavibacteria","LUSC","pos","NA","NA","NA",FALSE,"c"
"c__Ignavibacteria","READ","NA","NA","NA","NA",FALSE,"c"
"c__Ignavibacteria","SARC","pos","FALSE","NA","NA",FALSE,"c"
"c__Ignavibacteria","SKCM","NA","NA","NA","NA",FALSE,"c"
"c__Kinetoplastea","All","neg","TRUE","neg","FALSE",FALSE,"c"
"c__Kinetoplastea","BLCA","neg","FALSE","pos","FALSE",FALSE,"c"
"c__Kinetoplastea","COAD","neg","FALSE","neg","FALSE",FALSE,"c"
"c__Kinetoplastea","KIRC","neg","FALSE","neg","FALSE",FALSE,"c"
"c__Kinetoplastea","LUAD","pos","FALSE","neg","FALSE",FALSE,"c"
"c__Kinetoplastea","LUSC","pos","NA","neg","FALSE",FALSE,"c"
"c__Kinetoplastea","READ","neg","FALSE","pos","FALSE",FALSE,"c"
"c__Kinetoplastea","SARC","neg","FALSE","neg","FALSE",FALSE,"c"
"c__Kinetoplastea","SKCM","neg","FALSE","neg","FALSE",FALSE,"c"
"c__Kiritimatiellae","All","pos","FALSE","pos","FALSE",FALSE,"c"
"c__Kiritimatiellae","BLCA","NA","NA","neg","FALSE",FALSE,"c"
"c__Kiritimatiellae","COAD","NA","NA","pos","FALSE",FALSE,"c"
"c__Kiritimatiellae","KIRC","NA","NA","neg","FALSE",FALSE,"c"
"c__Kiritimatiellae","LUAD","NA","NA","pos","FALSE",FALSE,"c"
"c__Kiritimatiellae","LUSC","pos","NA","pos","FALSE",FALSE,"c"
"c__Kiritimatiellae","READ","NA","NA","NA","NA",FALSE,"c"
"c__Kiritimatiellae","SARC","neg","FALSE","NA","NA",FALSE,"c"
"c__Kiritimatiellae","SKCM","NA","NA","NA","NA",FALSE,"c"
"c__Ktedonobacteria","All","pos","FALSE","neg","FALSE",FALSE,"c"
